Celsius,Fahrenheit
-17.66,0.21
-16.73,1.89
22.39,72.3
30.62,87.12
11.04,51.87
13.36,56.05
31.14,88.05
41.06,105.91
-0.16,31.71
-12.76,9.03
-11.75,10.85
-19.53,-3.15
-19.58,-3.24
13.33,55.99
-15.87,3.43
26.24,79.23
19.2,66.56
39.18,102.52
43.86,110.95
25.33,77.59
26.65,79.97
6.53,43.75
-4.18,24.48
17.66,63.79
48.79,119.82
22.71,72.88
-15.61,3.9
34.21,93.58
-1.93,28.53
17.37,63.27
4.6,40.28
18.86,65.95
3.41,38.14
22.62,72.72
-6.64,20.05
47.2,116.96
-9.33,15.21
6.56,43.81
14.48,58.06
14.53,58.15
45.5,113.9
49.81,121.66
29.38,84.88
9.27,48.69
-9.95,14.09
43.87,110.97
49.96,121.93
11.69,53.04
-5.06,22.89
21.62,70.92
-3.31,26.04
33.55,92.39
4.62,40.32
2.14,35.85
40.53,104.95
-15.93,3.33
19.77,67.59
1.61,34.9
34.06,93.31
44.58,112.24
4.58,40.24
47.55,117.59
11.54,52.77
21.52,70.74
38.26,100.87
32.18,89.92
24.75,76.55
13.86,56.95
-11.62,11.08
26.33,79.39
43.61,110.5
25.01,77.02
6.48,43.66
-18.86,-1.95
30.37,86.67
46.61,115.9
43.29,109.92
18.51,65.32
14.52,58.14
13.12,55.62
38.53,101.35
19.12,66.42
47.57,117.63
46.82,116.28
13.33,55.99
4.2,39.56
21.32,70.38
10.12,50.22
9.57,49.23
4.37,39.87
4.63,40.33
-1.62,29.08
15.15,59.27
-15.91,3.36
-9.63,14.67
48.04,118.47
31.9,89.42
-10.85,12.47
30.0,86.0
17.71,63.88
3.12,37.62
43.32,109.98
-9.22,15.4
-18.59,-1.46
44.85,112.73
32.12,89.82
-6.69,19.96
3.47,38.25
25.27,77.49
5.27,41.49
48.32,118.98
6.74,44.13
1.57,34.83
35.54,95.97
-7.87,17.83
45.96,114.73
47.5,117.5
24.32,75.78
-18.86,-1.95
44.82,112.68
37.84,100.11
46.23,115.21
21.75,71.15
10.31,50.56
-15.42,4.24
17.33,63.19
18.72,65.7
5.33,41.59
33.53,92.35
-14.85,5.27
48.38,119.08
-9.16,15.51
45.13,113.23
42.07,107.73
45.38,113.68
-19.91,-3.84
7.18,44.92
49.19,120.54
-6.41,20.46
37.95,100.31
7.83,46.09
-12.19,10.06
37.19,98.94
47.78,118.0
26.02,78.84
40.43,104.77
48.23,118.81
7.52,45.54
22.67,72.81
26.21,79.18
12.9,55.22
39.06,102.31
22.92,73.26
-5.7,21.74
40.8,105.44
-12.8,8.96
-5.84,21.49
24.28,75.7
30.07,86.13
28.82,83.88
-8.42,16.84
33.21,91.78
42.34,108.21
10.08,50.14
8.32,46.98
33.92,93.06
-18.57,-1.43
30.68,87.22
17.75,63.95
23.39,74.1
26.96,80.53
3.71,38.68
-14.12,6.58
25.41,77.74
28.96,84.13
31.24,88.23
12.89,55.2
26.29,79.32
11.53,52.75
47.38,117.28
9.14,48.45
-8.89,16.0
31.44,88.59
16.69,62.04
19.41,66.94
35.61,96.1
-17.15,1.13
28.87,83.97
-12.26,9.93
-7.02,19.36
-2.7,27.14
-3.97,24.85
29.58,85.24
43.45,110.21
49.91,121.84
3.52,38.34
27.8,82.04
17.06,62.71
22.57,72.63
-4.16,24.51
46.6,115.88
22.44,72.39
48.33,118.99
8.25,46.85
-5.16,22.71
-3.72,25.3
-18.17,-0.71
-5.93,21.33
-16.21,2.82
37.61,99.7
-15.37,4.33
-16.07,3.07
18.04,64.47
4.76,40.57
19.97,67.95
7.53,45.55
30.5,86.9
7.02,44.64
31.63,88.93
34.01,93.22
46.52,115.74
5.11,41.2
-12.39,9.7
49.01,120.22
16.88,62.38
38.81,101.86
-3.97,24.85
21.67,71.01
28.78,83.8
41.95,107.51
27.21,80.98
-10.97,12.25
19.29,66.72
7.19,44.94
46.02,114.84
16.92,62.46
-0.77,30.61
49.72,121.5
-11.62,11.08
40.09,104.16
17.92,64.26
-14.77,5.41
42.19,107.94
-18.56,-1.41
-13.4,7.88
28.86,83.95
33.71,92.68
4.66,40.39
-0.32,31.42
-7.44,18.61
19.95,67.91
1.58,34.84
37.21,98.98
20.46,68.83
32.93,91.27
48.67,119.61
30.89,87.6
-5.53,22.05
-3.97,24.85
15.84,60.51
2.87,37.17
3.33,37.99
37.75,99.95
30.86,87.55
21.86,71.35
33.74,92.73
34.25,93.65
41.94,107.49
5.05,41.09
-16.41,2.46
-12.65,9.23
-0.01,31.98
21.75,71.15
37.35,99.23
11.42,52.56
39.98,103.96
35.48,95.86
-10.39,13.3
30.53,86.95
20.12,68.22
28.8,83.84
15.28,59.5
-1.82,28.72
48.62,119.52
32.6,90.68
-13.47,7.75
1.54,34.77
39.52,103.14
38.87,101.97
34.81,94.66
47.04,116.67
43.28,109.9
13.17,55.71
25.09,77.16
20.04,68.07
-19.27,-2.69
-12.89,8.8
-7.07,19.27
7.11,44.8
-11.5,11.3
46.89,116.4
34.91,94.84
40.6,105.08
-10.93,12.33
7.76,45.97
-17.44,0.61
21.99,71.58
-12.43,9.63
-11.72,10.9
30.82,87.48
16.92,62.46
-11.52,11.26
-15.4,4.28
-14.34,6.19
-4.07,24.67
-4.84,23.29
43.82,110.88
25.67,78.21
-8.99,15.82
-9.6,14.72
19.91,67.84
47.3,117.14
36.28,97.3
34.62,94.32
-16.41,2.46
5.8,42.44
13.81,56.86
28.08,82.54
6.45,43.61
34.62,94.32
46.33,115.39
-6.49,20.32
47.0,116.6
45.51,113.92
-2.71,27.12
9.62,49.32
33.54,92.37
-2.42,27.64
1.09,33.96
-4.42,24.04
4.85,40.73
-8.89,16.0
3.19,37.74
25.44,77.79
42.12,107.82
10.07,50.13
44.51,112.12
10.33,50.59
-6.52,20.26
36.18,97.12
-18.92,-2.06
5.4,41.72
23.23,73.81
-10.67,12.79
27.19,80.94
33.8,92.84
29.96,85.93
48.25,118.85
45.31,113.56
-8.6,16.52
14.59,58.26
1.8,35.24
6.54,43.77
27.27,81.09
33.86,92.95
-10.84,12.49
0.23,32.41
28.18,82.72
-10.41,13.26
-8.59,16.54
22.92,73.26
3.84,38.91
-2.63,27.27
18.83,65.89
-6.95,19.49
-17.62,0.28
12.5,54.5
24.86,76.75
30.51,86.92
-3.85,25.07
-16.04,3.13
-9.91,14.16
-6.65,20.03
4.54,40.17
-17.36,0.75
-18.41,-1.14
36.26,97.27
49.48,121.06
12.28,54.1
47.86,118.15
12.05,53.69
6.65,43.97
-19.35,-2.83
43.19,109.74
36.68,98.02
8.76,47.77
0.12,32.22
28.85,83.93
-3.59,25.54
31.55,88.79
-14.45,5.99
33.3,91.94
17.49,63.48
42.55,108.59
37.63,99.73
7.61,45.7
-6.83,19.71
46.15,115.07
17.04,62.67
2.8,37.04
13.87,56.97
10.0,50.0
-12.25,9.95
-2.37,27.73
9.06,48.31
1.44,34.59
-6.29,20.68
-10.39,13.3
-7.3,18.86
13.93,57.07
-11.14,11.95
6.81,44.26
35.96,96.73
14.38,57.88
-2.99,26.62
-14.27,6.31
-6.67,19.99
30.88,87.58
23.24,73.83
36.94,98.49
39.18,102.52
17.39,63.3
-12.07,10.27
34.92,94.86
-10.33,13.41
19.01,66.22
-16.6,2.12
-18.21,-0.78
17.56,63.61
27.91,82.24
6.14,43.05
40.71,105.28
10.24,50.43
7.66,45.79
12.29,54.12
30.2,86.36
4.6,40.28
-1.89,28.6
39.75,103.55
37.17,98.91
25.41,77.74
22.86,73.15
4.93,40.87
23.07,73.53
-18.58,-1.44
24.95,76.91
6.92,44.46
15.89,60.6
40.16,104.29
46.85,116.33
-17.54,0.43
12.92,55.26
23.59,74.46
-3.03,26.55
41.93,107.47
48.32,118.98
-17.68,0.18
7.84,46.11
23.88,74.98
48.98,120.16
17.92,64.26
-0.83,30.51
13.75,56.75
-4.02,24.76
44.92,112.86
-16.49,2.32
4.23,39.61
-8.75,16.25
2.36,36.25
45.37,113.67
17.93,64.27
46.69,116.04
-4.12,24.58
-5.58,21.96
2.82,37.08
-13.66,7.41
10.53,50.95
27.03,80.65
-18.01,-0.42
33.52,92.34
-19.2,-2.56
8.57,47.43
9.88,49.78
-2.81,26.94
-7.21,19.02
13.07,55.53
8.25,46.85
46.48,115.66
46.81,116.26
18.9,66.02
20.05,68.09
37.67,99.81
-15.84,3.49
-15.03,4.95
46.59,115.86
49.03,120.25
12.06,53.71
2.04,35.67
23.42,74.16
-0.82,30.52
44.13,111.43
11.31,52.36
45.64,114.15
45.26,113.47
8.22,46.8
-9.87,14.23
-8.2,17.24
-4.65,23.63
5.5,41.9
28.47,83.25
-19.29,-2.72
36.34,97.41
47.4,117.32
18.29,64.92
20.42,68.76
27.58,81.64
-6.62,20.08
35.8,96.44
10.96,51.73
43.02,109.44
32.48,90.46
34.84,94.71
-16.1,3.02
28.04,82.47
35.49,95.88
-8.18,17.28
0.5,32.9
21.23,70.21
-13.31,8.04
47.05,116.69
40.31,104.56
27.85,82.13
31.23,88.21
11.3,52.34
-5.1,22.82
46.95,116.51
-15.97,3.25
20.93,69.67
40.86,105.55
-2.06,28.29
26.24,79.23
9.52,49.14
29.02,84.24
31.76,89.17
3.09,37.56
35.16,95.29
21.16,70.09
29.42,84.96
35.96,96.73
15.17,59.31
44.13,111.43
36.98,98.56
-19.31,-2.76
14.92,58.86
4.35,39.83
2.26,36.07
25.69,78.24
41.14,106.05
-16.05,3.11
44.43,111.97
23.59,74.46
0.33,32.59
-6.93,19.53
-11.39,11.5
42.98,109.36
-5.38,22.32
-8.8,16.16
25.74,78.33
0.88,33.58
42.1,107.78
-9.58,14.76
-13.36,7.95
29.63,85.33
47.12,116.82
-10.88,12.42
-6.51,20.28
-5.17,22.69
33.27,91.89
11.94,53.49
-4.41,24.06
1.52,34.74
-7.75,18.05
37.85,100.13
5.72,42.3
-13.7,7.34
45.02,113.04
44.78,112.6
41.18,106.12
-12.12,10.18
39.9,103.82
26.02,78.84
-15.33,4.41
46.95,116.51
-9.52,14.86
11.56,52.81
-19.96,-3.93
-12.38,9.72
12.34,54.21
-11.76,10.83
32.37,90.27
39.08,102.34
-14.3,6.26
-2.66,27.21
46.16,115.09
33.66,92.59
23.41,74.14
3.87,38.97
44.12,111.42
46.19,115.14
17.66,63.79
7.68,45.82
37.87,100.17
27.77,81.99
20.52,68.94
24.44,75.99
40.64,105.15
9.63,49.33
38.85,101.93
8.29,46.92
43.82,110.88
5.08,41.14
-13.59,7.54
-14.64,5.65
4.36,39.85
13.25,55.85
29.44,84.99
37.13,98.83
24.57,76.23
43.92,111.06
-10.01,13.98
36.34,97.41
8.63,47.53
-11.04,12.13
-1.03,30.15
11.09,51.96
31.11,88.0
-6.05,21.11
27.55,81.59
-4.07,24.67
-17.57,0.37
-10.01,13.98
31.22,88.2
13.33,55.99
7.57,45.63
17.66,63.79
-3.11,26.4
25.93,78.67
40.22,104.4
29.78,85.6
-1.39,29.5
19.0,66.2
-11.14,11.95
21.29,70.32
2.83,37.09
36.41,97.54
17.37,63.27
25.01,77.02
-9.37,15.13
34.01,93.22
30.35,86.63
36.03,96.85
31.61,88.9
15.1,59.18
45.42,113.76
-11.38,11.52
0.99,33.78
28.83,83.89
35.55,95.99
31.85,89.33
32.94,91.29
6.48,43.66
-16.48,2.34
48.81,119.86
15.81,60.46
-1.85,28.67
-0.99,30.22
-5.52,22.06
-8.43,16.83
40.55,104.99
15.8,60.44
38.35,101.03
-6.97,19.45
0.58,33.04
32.19,89.94
-2.5,27.5
-16.08,3.06
5.37,41.67
-16.46,2.37
46.94,116.49
2.74,36.93
9.08,48.34
3.01,37.42
6.34,43.41
1.66,34.99
35.31,95.56
47.7,117.86
4.4,39.92
46.47,115.65
3.77,38.79
20.14,68.25
46.35,115.43
-4.92,23.14
-3.71,25.32
19.08,66.34
10.21,50.38
-3.84,25.09
30.2,86.36
20.22,68.4
48.06,118.51
10.87,51.57
8.99,48.18
18.24,64.83
22.05,71.69
32.71,90.88
16.24,61.23
-6.87,19.63
39.17,102.51
-16.73,1.89
49.15,120.47
8.01,46.42
-18.08,-0.54
39.85,103.73
29.44,84.99
45.78,114.4
41.47,106.65
-16.2,2.84
-11.9,10.58
-9.26,15.33
49.48,121.06
24.85,76.73
46.73,116.11
19.22,66.6
46.19,115.14
-0.35,31.37
-4.85,23.27
-13.99,6.82
-12.16,10.11
6.92,44.46
-6.33,20.61
41.04,105.87
-17.29,0.88
-6.4,20.48
21.65,70.97
4.47,40.05
30.86,87.55
42.9,109.22
-9.43,15.03
49.27,120.69
-6.44,20.41
46.74,116.13
5.57,42.03
45.47,113.85
23.9,75.02
38.19,100.74
46.53,115.75
7.42,45.36
-2.95,26.69
-6.26,20.73
19.79,67.62
9.88,49.78
43.14,109.65
48.51,119.32
36.12,97.02
35.55,95.99
-0.22,31.6
25.97,78.75
33.66,92.59
-3.39,25.9
48.89,120.0
-6.16,20.91
11.97,53.55
46.91,116.44
20.74,69.33
11.16,52.09
48.27,118.89
2.93,37.27
-4.9,23.18
-5.87,21.43
-11.7,10.94
36.08,96.94
39.34,102.81
29.77,85.59
-3.09,26.44
10.34,50.61
31.81,89.26
33.14,91.65
41.86,107.35
49.03,120.25
43.89,111.0
43.14,109.65
15.82,60.48
16.59,61.86
-10.36,13.35
39.72,103.5
-13.51,7.68
23.55,74.39
45.39,113.7
-19.97,-3.95
4.2,39.56
35.26,95.47
38.46,101.23
-2.66,27.21
31.67,89.01
-2.82,26.92
16.72,62.1
17.39,63.3
15.07,59.13
-3.17,26.29
-17.03,1.35
45.52,113.94
44.58,112.24
15.28,59.5
15.01,59.02
-12.18,10.08
16.34,61.41
30.57,87.03
-14.86,5.25
35.77,96.39
-2.32,27.82
32.12,89.82
27.99,82.38
24.1,75.38
46.32,115.38
-8.39,16.9
12.78,55.0
10.43,50.77
9.89,49.8
19.53,67.15
14.58,58.24
44.59,112.26
11.52,52.74
-7.72,18.1
5.33,41.59
-8.91,15.96
29.53,85.15
3.07,37.53
10.56,51.01
-10.94,12.31
-14.18,6.48
37.04,98.67
36.05,96.89
-0.27,31.51
-0.02,31.96
20.97,69.75
-15.18,4.68
29.89,85.8
29.05,84.29
18.59,65.46
31.09,87.96
18.18,64.72
43.13,109.63
6.43,43.57
40.19,104.34
26.2,79.16
19.02,66.24
